place_id,place_name,coords,geometry
{'place_id': 'a02e6c261fa62b42'},"Benoni, South Africa","[28.2722463, -26.2315204, 28.4449594, -26.0681935]",POINT (28.358602849999997 -26.14985695)
{'place_id': '0e587c59401d0a27'},"Pretoria, South Africa","[27.9483035, -25.9157727, 28.4198285, -25.5894376]",POINT (28.184066 -25.75260515)
{'place_id': '52e073e7724385c3'},"Pietermaritzburg, South Africa","[30.2563496, -29.6999989, 30.4512134, -29.5328007]",POINT (30.3537815 -29.6163998)
{'place_id': '3e46a98adcf05e59'},"Meadowlands, South Africa","[27.8651453, -26.2359005, 27.9219768, -26.1964777]",POINT (27.89356105 -26.2161891)
{'place_id': '2cef54f8b7d99a87'},"Kokosi, South Africa","[27.4580897, -26.5177113, 27.481206, -26.4907865]",POINT (27.46964785 -26.5042489)
{'place_id': '4a1714afea001cb6'},"Seshego, South Africa","[29.3385506, -23.8729968, 29.4117258, -23.8247528]",POINT (29.375138200000002 -23.848874799999997)
{'place_id': 'd73e8f8ebdd03aff'},"Randburg, South Africa","[27.8925632, -26.1368652, 28.0223519, -25.9025742]",POINT (27.95745755 -26.0197197)
{'place_id': '1465fdb4074020c2'},"Germiston, South Africa","[28.119808, -26.3203251, 28.240063, -26.137332]",POINT (28.1799355 -26.228828550000003)
{'place_id': 'b521e62763705c2a'},"Ermelo, South Africa","[29.9456965, -26.5620965, 30.0480797, -26.4774206]",POINT (29.9968881 -26.51975855)
{'place_id': '9d7cae88ff6a29f5'},"Durban, South Africa","[30.8789097, -30.055938, 31.0662492, -29.7453336]",POINT (30.97257945 -29.9006358)
{'place_id': 'e564d30dc173d2a8'},"Johannesburg, South Africa","[27.7518557, -26.5126489, 28.1843404, -26.0396281]",POINT (27.968098050000002 -26.276138500000002)
{'place_id': '7f38799462acabcf'},"Uvongo, South Africa","[30.3692363, -30.8534537, 30.4032813, -30.8096112]",POINT (30.3862588 -30.831532449999997)
{'place_id': 'ae14f3d947802ac9'},"Phalaborwa, South Africa","[31.1267086, -23.9796627, 31.1811465, -23.9172965]",POINT (31.15392755 -23.9484796)
{'place_id': '80d77440d7bd9308'},"Boksburg, South Africa","[28.1894483, -26.4014473, 28.308244, -26.128581]",POINT (28.248846149999995 -26.26501415)
{'place_id': 'd98aef293ae7311d'},"Kempton Park, South Africa","[28.1581593, -26.1689943, 28.3280005, -26.0027295]",POINT (28.2430799 -26.0858619)
{'place_id': 'af4757dac9bdd1d9'},"Nelspruit, South Africa","[30.899601, -25.5269318, 31.0370722, -25.4414654]",POINT (30.9683366 -25.484198599999996)
{'place_id': '1744381d2805a216'},"Roodepoort, South Africa","[27.771294, -26.2656942, 27.9772907, -26.0197293]",POINT (27.87429235 -26.14271175)
{'place_id': '4b34b4958ad4bed0'},"Aliwal North, South Africa","[26.6858284, -30.721615, 26.7270348, -30.6780374]",POINT (26.7064316 -30.6998262)
{'place_id': 'c862cb0b4e5f2005'},"Hazyview, South Africa","[31.1065209, -25.0808375, 31.1555923, -25.02476]",POINT (31.1310566 -25.05279875)
{'place_id': '0e428116fe291283'},"Port Elizabeth, South Africa","[25.406293, -34.0504982, 25.7043392, -33.7646257]",POINT (25.5553161 -33.90756195)
{'place_id': '07d9d3f7cd082001'},Mbombela Municipality,"[30.975389649864, -25.472074859334057, 30.975389649864, -25.472074859334057]",POINT (30.975389649864 -25.472074859334057)
{'place_id': '48e771aa07be41b1'},"White River, South Africa","[30.9909745, -25.3619366, 31.0617332, -25.2810032]",POINT (31.02635385 -25.3214699)
{'place_id': '4d1ef55be5eaf427'},"Chatsworth, South Africa","[30.8379578, -29.9466311, 30.9378615, -29.8679687]",POINT (30.88790965 -29.907299899999998)
{'place_id': '46c1b1ab24d7e11a'},"Midrand, South Africa","[28.0140761, -26.0572574, 28.1930256, -25.9195514]",POINT (28.10355085 -25.9884044)
"{'coordinates': {'type': 'Point', 'coordinates': [18.42433393, -33.92401251]}, 'place_id': '8b9ec16fdc0d7e55'}","Cape Town, South Africa","[18.3180332, -34.35839, 18.6600898, -33.8849254]",POINT (18.4241 -33.9249)
{'place_id': '10a589c27fc19a4c'},"Stellenbosch, South Africa","[18.6844903, -34.0629343, 18.9821984, -33.7933616]",POINT (18.83334435 -33.928147949999996)
{'place_id': '178a87b8e2eaa375'},"Sandton, South Africa","[27.9829939, -26.1362658, 28.1382322, -25.9811502]",POINT (28.06061305 -26.058708)
{'place_id': 'cc95b56a28712044'},"Centurion, South Africa","[28.0010585, -25.9448996, 28.2712217, -25.7768617]",POINT (28.1361401 -25.860880649999995)
{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa","[18.3180332, -34.35839, 18.6600898, -33.8849254]",POINT (18.4241 -33.9249)
"{'coordinates': {'type': 'Point', 'coordinates': [28.0424412, -26.2064454]}, 'place_id': 'e564d30dc173d2a8'}","Johannesburg, South Africa","[27.7518557, -26.5126489, 28.1843404, -26.0396281]",POINT (27.968098050000002 -26.276138500000002)
{'place_id': '79a7bff6781a7bf7'},"Ibhayi, South Africa","[25.5103988, -33.9101869, 25.6106232, -33.8293343]",POINT (25.560510999999998 -33.8697606)
{'place_id': '5ccdc4a6f900a93f'},"Milnerton, South Africa","[18.4350199, -33.9208993, 18.5572133, -33.7259229]",POINT (18.4961166 -33.8234111)
